Species,ID,Layer,LayerID,d15N (‰),d13C (‰),Age.min,Age.max,Age.median
Atrobucca.nibe,18,9,edge,9.7,NA,NA,NA,NA
Atrobucca.nibe,18,8,NA,10,NA,NA,NA,NA
Atrobucca.nibe,18,7,NA,9.6,NA,NA,NA,NA
Atrobucca.nibe,18,6,NA,9.5,NA,NA,NA,NA
Atrobucca.nibe,18,5,NA,9.4,NA,NA,NA,NA
Atrobucca.nibe,18,4,NA,9.3,NA,NA,NA,NA
Atrobucca.nibe,18,3,NA,8.5,NA,NA,NA,NA
Atrobucca.nibe,18,2,NA,8.2,NA,NA,NA,NA
Atrobucca.nibe,18,1,core,6.2,NA,NA,NA,NA
Atrobucca.nibe,19,8,edge,10,NA,NA,NA,NA
Atrobucca.nibe,19,7,NA,10.3,NA,NA,NA,NA
Atrobucca.nibe,19,6,NA,9.8,NA,NA,NA,NA
Atrobucca.nibe,19,5,NA,9.4,NA,NA,NA,NA
Atrobucca.nibe,19,4,NA,9.1,NA,NA,NA,NA
Atrobucca.nibe,19,3,NA,9.3,NA,NA,NA,NA
Atrobucca.nibe,19,2,NA,9.3,NA,NA,NA,NA
Atrobucca.nibe,19,1,core,8.9,NA,NA,NA,NA
Atrobucca.nibe,20,13,edge,9,NA,NA,NA,NA
Atrobucca.nibe,20,12,NA,10,NA,NA,NA,NA
Atrobucca.nibe,20,11,NA,9.1,NA,NA,NA,NA
Atrobucca.nibe,20,10,NA,9.8,NA,NA,NA,NA
Atrobucca.nibe,20,9,NA,9.7,NA,NA,NA,NA
Atrobucca.nibe,20,8,NA,9.6,NA,NA,NA,NA
Atrobucca.nibe,20,7,NA,9.5,NA,NA,NA,NA
Atrobucca.nibe,20,6,NA,9.7,NA,NA,NA,NA
Atrobucca.nibe,20,5,NA,9.3,NA,NA,NA,NA
Atrobucca.nibe,20,4,NA,9.4,NA,NA,NA,NA
Atrobucca.nibe,20,3,NA,8.9,NA,NA,NA,NA
Atrobucca.nibe,20,2,NA,7.5,NA,NA,NA,NA
Atrobucca.nibe,20,1,core,7.5,NA,NA,NA,NA
Atrobucca.nibe,21,8,edge,10.5,NA,NA,NA,NA
Atrobucca.nibe,21,7,NA,10.4,NA,NA,NA,NA
Atrobucca.nibe,21,6,NA,10.1,NA,NA,NA,NA
Atrobucca.nibe,21,5,NA,10.2,NA,NA,NA,NA
Atrobucca.nibe,21,4,NA,9.8,NA,NA,NA,NA
Atrobucca.nibe,21,3,NA,9.7,NA,NA,NA,NA
Atrobucca.nibe,21,2,NA,9.9,NA,NA,NA,NA
Atrobucca.nibe,21,1,core,9.4,NA,NA,NA,NA
Atrobucca.nibe,23,4,edge,8.2,-16.8,4.3,5,4.65
Atrobucca.nibe,23,3,NA,9.2,-17.5,3.3,4.4,3.85
Atrobucca.nibe,23,2,NA,7.3,-17.6,2.6,4.1,3.35
Atrobucca.nibe,23,1,core,7.4,-16.1,0,3,1.5
Atrobucca.nibe,24,5,edge,9.7,-16,4.5,5,4.75
Atrobucca.nibe,24,4,NA,9.5,-15.8,3.4,4.5,3.95
Atrobucca.nibe,24,3,NA,9.7,-17.2,2.9,3.5,3.2
Atrobucca.nibe,24,2,NA,9.2,-17.7,2.2,2.9,2.55
Atrobucca.nibe,24,1,core,8.9,-16,0,2.6,1.3
Atrobucca.nibe,25,4,edge,8.3,-16.7,4.1,5,4.55
Atrobucca.nibe,25,3,NA,8.8,-17,3.5,4.3,3.9
Atrobucca.nibe,25,2,NA,9.3,-18.3,2,3.6,2.8
Atrobucca.nibe,25,1,core,8,-17,0,2.9,1.45
Atrobucca.nibe,26,5,edge,9.4,-17.1,4.8,5,4.9
Atrobucca.nibe,26,4,NA,9,-17.5,3.5,4.8,4.15
Atrobucca.nibe,26,3,NA,9.1,-17.6,2.5,3.6,3.05
Atrobucca.nibe,26,2,NA,8.3,-18.3,1.8,2.9,2.35
Atrobucca.nibe,26,1,core,6.2,-17.3,0,2.2,1.1
Atrobucca.nibe,28,4,edge,9.3,-17.1,3.6,4,3.8
Atrobucca.nibe,28,3,NA,9.1,-17.7,3,3.8,3.4
Atrobucca.nibe,28,2,NA,7.5,-18.1,1.8,3.6,2.7
Atrobucca.nibe,28,1,core,7.8,-16.9,0,2.8,1.4
Atrobucca.nibe,33,4,edge,9.3,-16.3,3.7,4,3.85
Atrobucca.nibe,33,3,NA,9.9,-16.3,2.8,3.8,3.3
Atrobucca.nibe,33,2,NA,10.1,-16.9,1.8,3,2.4
Atrobucca.nibe,33,1,core,8.7,-18.2,0,2.7,1.35
Chrysochir.aureus,7,2,edge,11.7,-14.7,NA,NA,NA
Chrysochir.aureus,7,1,core,9.6,-15.6,NA,NA,NA
Chrysochir.aureus,9,2,edge,11.8,-15.4,NA,NA,NA
Chrysochir.aureus,9,1,core,10.8,-14.9,NA,NA,NA
Chrysochir.aureus,10,4,edge,12,-14.8,3.8,4,3.9
Chrysochir.aureus,10,3,NA,11,-14.7,3,3.9,3.45
Chrysochir.aureus,10,2,NA,6.9,-16.5,2.2,3.2,2.7
Chrysochir.aureus,10,1,core,8.5,-16.1,0,2.4,1.2
Chrysochir.aureus,11,4,edge,10.7,-16.5,3.6,4,3.8
Chrysochir.aureus,11,3,NA,9.8,-16.1,3,3.9,3.45
Chrysochir.aureus,11,2,NA,8.5,-17.8,2.2,3.8,3
Chrysochir.aureus,11,1,core,8,-16,0,2.3,1.15
Nibea.albiflora,1,5,edge,11.3,-14.8,3.9,4,3.95
Nibea.albiflora,1,4,NA,11.4,-14.9,3.7,3.9,3.8
Nibea.albiflora,1,3,NA,10.4,-16.6,3.1,3.8,3.45
Nibea.albiflora,1,2,NA,8.7,-16.4,2.6,3.3,2.95
Nibea.albiflora,1,1,core,6.5,-17.9,0,2.6,1.3
Nibea.albiflora,2,5,edge,11.7,-15.6,3.4,4,3.7
Nibea.albiflora,2,4,NA,NA,-17,2.8,3.8,3.3
Nibea.albiflora,2,3,NA,9.3,-16.8,2.2,3,2.6
Nibea.albiflora,2,2,NA,7.8,-17.2,1.8,2.5,2.15
Nibea.albiflora,2,1,core,9.1,-15.3,0,2,1
Nibea.albiflora,3,8,edge,11.9,-15.6,3.9,4,3.95
Nibea.albiflora,3,7,NA,11.5,-14.8,3.3,3.9,3.6
Nibea.albiflora,3,6,NA,10.7,-16.7,2.8,3.3,3.05
Nibea.albiflora,3,5,NA,10.3,-15.4,2.6,3,2.8
Nibea.albiflora,3,4,NA,8,-17.9,2.4,2.7,2.55
Nibea.albiflora,3,3,NA,8.9,-17.9,2,2.5,2.25
Nibea.albiflora,3,2,NA,7.9,-16.4,1.4,2.2,1.8
Nibea.albiflora,3,1,core,7.9,-16.6,0,1.4,0.7
Nibea.albiflora,4,5,edge,11.6,-16.1,3.2,4,3.6
Nibea.albiflora,4,4,NA,10.4,-16.8,3,3.6,3.3
Nibea.albiflora,4,3,NA,8.4,-16.5,2.4,3.1,2.75
Nibea.albiflora,4,2,NA,8.5,-17.4,1.6,2.6,2.1
Nibea.albiflora,4,1,core,9.3,-14.8,0,1.7,0.85
Protonibea.diacanthus,1,4,edge,13.3,-15.2,1.8,2,1.9
Protonibea.diacanthus,1,3,NA,13,-16.2,1.5,1.9,1.7
Protonibea.diacanthus,1,2,NA,11.2,-17,1.3,1.8,1.55
Protonibea.diacanthus,1,1,core,9.4,-15.5,0,1.3,0.65
Protonibea.diacanthus,2,3,edge,10.8,-16.5,1.9,2,1.95
Protonibea.diacanthus,2,2,NA,10.3,-16.6,1.3,1.9,1.6
Protonibea.diacanthus,2,1,core,9.1,-15.6,0,1.5,0.75
Protonibea.diacanthus,3,3,edge,11.4,-17.2,1.8,2,1.9
Protonibea.diacanthus,3,2,NA,10.8,-17.8,1.2,1.9,1.55
Protonibea.diacanthus,3,1,core,9.7,-17.1,0,1.5,0.75
Pennahia.macrocephalus,1,4,edge,10.8,NA,NA,NA,NA
Pennahia.macrocephalus,1,3,NA,10.2,NA,NA,NA,NA
Pennahia.macrocephalus,1,2,NA,9.6,NA,NA,NA,NA
Pennahia.macrocephalus,1,1,core,9.8,NA,NA,NA,NA
Pennahia.macrocephalus,3,3,edge,11.1,NA,NA,NA,NA
Pennahia.macrocephalus,3,2,NA,10.5,NA,NA,NA,NA
Pennahia.macrocephalus,3,1,core,9.6,NA,NA,NA,NA
Pennahia.macrocephalus,7,3,edge,10,NA,NA,NA,NA
Pennahia.macrocephalus,7,2,NA,10.9,NA,NA,NA,NA
Pennahia.macrocephalus,7,1,core,8.7,NA,NA,NA,NA
Pennahia.macrocephalus,8,3,edge,10.7,-17,NA,NA,NA
Pennahia.macrocephalus,8,2,NA,11,-16.7,NA,NA,NA
Pennahia.macrocephalus,8,1,core,7.5,-16.5,NA,NA,NA
Pennahia.macrocephalus,9,3,edge,10.6,-15.8,3.4,4,3.7
Pennahia.macrocephalus,9,2,NA,10,-16.6,2.9,3.7,3.3
Pennahia.macrocephalus,9,1,core,9.1,-16.5,0,2.9,1.45
Pennahia.macrocephalus,10,3,edge,9.9,-16.8,3.3,4,3.65
Pennahia.macrocephalus,10,2,NA,9.4,-16.4,2.1,3.5,2.8
Pennahia.macrocephalus,10,1,core,8.4,-16.7,0,2.9,1.45
Pennahia.macrocephalus,11,4,edge,9.6,-17,NA,NA,NA
Pennahia.macrocephalus,11,3,NA,9.9,-16.8,NA,NA,NA
Pennahia.macrocephalus,11,2,NA,10.3,-16.9,NA,NA,NA
Pennahia.macrocephalus,11,1,core,10.1,-17.7,NA,NA,NA
Pennahia.macrocephalus,12,4,edge,10.7,NA,NA,NA,NA
Pennahia.macrocephalus,12,3,NA,10.5,NA,NA,NA,NA
Pennahia.macrocephalus,12,2,NA,9.3,NA,NA,NA,NA
Pennahia.macrocephalus,12,1,core,10.4,NA,NA,NA,NA
Pennahia.macrocephalus,16,3,edge,10.3,-16.7,NA,NA,NA
Pennahia.macrocephalus,16,2,NA,9.5,-16.8,NA,NA,NA
Pennahia.macrocephalus,16,1,core,8.1,-17.7,NA,NA,NA
Pennahia.macrocephalus,17,4,edge,10.8,NA,NA,NA,NA
Pennahia.macrocephalus,17,3,NA,10.2,NA,NA,NA,NA
Pennahia.macrocephalus,17,2,NA,10.7,NA,NA,NA,NA
Pennahia.macrocephalus,17,1,core,8.9,NA,NA,NA,NA
Pennahia.macrocephalus,18,3,edge,11,NA,NA,NA,NA
Pennahia.macrocephalus,18,2,NA,10.6,NA,NA,NA,NA
Pennahia.macrocephalus,18,1,core,10.3,NA,NA,NA,NA
Pennahia.macrocephalus,19,2,edge,10.4,-16.3,1.5,3,2.25
Pennahia.macrocephalus,19,1,core,9,-16.6,0,1.5,0.75